country_code,pass_count,predicted_gdp_per_capita,actual_gdp_per_capita,relative_error_gdp_per_capita,pass_gdp_per_capita,predicted_inflation,actual_inflation,relative_error_inflation,pass_inflation,predicted_unemployment,actual_unemployment,relative_error_unemployment,pass_unemployment,predicted_debt_gdp,actual_debt_gdp,relative_error_debt_gdp,pass_debt_gdp,predicted_life_expectancy,actual_life_expectancy,relative_error_life_expectancy,pass_life_expectancy
DZA,2,5038.4705919096805,5752.99076651465,0.12419977775105129,True,-0.019585705301028843,0.040461145531343404,1.4840620561732907,False,0.24336457499434297,0.11654999999999999,1.0880701415216045,False,2.53960736036558,0.48100000000000004,4.279848982049023,False,74.05486452486167,76.475,0.03164609970759495,True
ECU,1,9717.259751615697,6874.705739766,0.4134800992873407,False,-0.023148272813409934,0.0154732515615369,2.496018643615376,False,0.11089191566548746,0.03453,2.2114658460899936,False,2.3111939816946854,0.541,3.272077600175019,False,77.31635785620094,77.579,0.0033854798824302433,True
ESP,1,19530.975147591904,35326.7683069278,0.44713382843565236,False,-0.03937683482905453,0.0277417826534772,2.419405354043424,False,0.3035908243201971,0.114,1.6630774063175182,False,3.0,1.016,1.9527559055118109,False,83.9046773057333,83.8878048780488,0.00020113087604368935,True
EST,3,28586.117160073998,31428.3547816104,0.0904354568123774,True,0.061938566682015514,0.035194118998392,0.7599124070940789,False,0.07352,0.076,0.03263157894736837,True,0.07984422508904461,0.235,0.6602373400466187,False,79.39812662933436,79.2951219512195,0.001299003968721091,True
ETH,1,299.4930288527019,1133.88279681719,0.735869501068912,False,0.04102954824480095,0.21037746057770998,0.8049717487218869,False,0.24036004417528767,0.03357,6.159965569713663,False,3.0,0.33399999999999996,7.982035928143714,False,62.418180830702795,67.603,0.0766951047926453,True
FIN,3,58579.338818457596,53149.7671934051,0.10215607540283266,True,0.05760403541729492,0.015656890623161498,2.6791491237781475,False,0.07689,0.084,0.0846428571428572,True,1.2677605643809895,0.8240000000000001,0.5385443742487735,False,83.52136861542431,82.3365853658537,0.014389511592036011,True
FRA,2,40465.68547262771,46103.0840855884,0.12227812357401305,True,-0.03230270663207008,0.0199904942291462,2.6159033519527815,False,0.11620729125238735,0.07400000000000001,0.5703688007079369,False,3.0,1.1320000000000001,1.6501766784452294,False,84.24523157996644,82.9804878048781,0.015241459872618381,True
GAB,2,8670.48869187895,8230.04311451151,0.05351680073107154,True,-0.03769847334143919,0.011731199838121799,4.213522390006003,False,0.3234116879529522,0.20091,0.609734149385059,False,2.4647523153228454,0.7090000000000001,2.4763784419222077,False,67.65582796491559,68.511,0.012482258835579803,True
GBR,2,52057.04918625086,53246.3676145108,0.02233614200447026,True,-0.029900098403394255,0.032715729463592,1.9139364731777981,False,0.08973409589023536,0.043609999999999996,1.0576495274073692,False,3.0,0.9990000000000001,2.003003003003003,False,82.71909282624536,81.3868536585366,0.01636921821917644,True
GEO,1,6473.539717500941,9241.49122313713,0.29951351343669586,False,-0.02646610937118537,0.0110971758022096,3.3849409834451394,False,0.26967726110644646,0.11557,1.3334538470749022,False,1.8678520697063055,0.35700000000000004,4.232078626628306,False,74.51518356573042,74.657,0.0018995731715655841,True
GHA,2,2164.630753452839,2390.77237652715,0.09458935752085498,True,0.02731812055687432,0.228483281157842,0.8804371137422423,False,0.18843108883838885,0.0282,5.681953504907407,False,2.2898175451175966,0.703,2.257208456781788,False,64.31393396935059,65.695,0.021022391820525264,True
